State,City,median,unit
IN,Indianapolis,650,251
CA,Malibu,304,92
UT,Park City,299,229
NV,Truckee,275,67
CA,Healdsburg,275,49
CA,Laguna Beach,268.5,68
NV,Incline Village,259,118
CA,Manhattan Beach,209,55
NC,Charlotte,200,225
CA,Sonoma,200,115
CA,Napa,200,68
TX,Austin,199,2836
CA,La Jolla,195,53
CA,Sausalito,190,71
CA,Hermosa Beach,189.5,48
FL,Sunny Isles Beach,180,161
NY,New York,170,8043
CA,Newport Beach,160,84
MA,Boston,160,613
CA,Beverly Hills,160,74
CA,Venice,155,242
CA,Marina del Rey,155,80
CA,San Francisco,150,3622
FL,Miami Beach,150,1345
CA,Mill Valley,150,80
CA,Santa Monica,150,500
LA,New Orleans,150,833
KY,Louisville,150,86
FL,Miami,149.5,640
NM,Taos,148.5,52
CA,Sebastopol,145,49
CA,San Diego,130,986
CA,West Hollywood,129,229
DC,Washington,129,1402
AZ,Scottsdale,129,121
NV,Las Vegas,125,291
MA,Cambridge,125,300
SC,Charleston,125,84
FL,Naples,125,50
CA,Santa Cruz,125,127
CA,San Rafael,125,61
AK,Anchorage,123.5,50
CA,Palo Alto,120,100
MA,Brookline,120,47
CA,Santa Rosa,120,71
FL,Hollywood,115.5,150
CO,Colorado Springs,113,54
CA,Mountain View,113,72
FL,Davenport,113,108
FL,Kissimmee,110,266
NY,Brooklyn,110,4368
CA,Los Angeles,110,3236
GA,Savannah,107,91
VA,Arlington,106.5,214
RI,Paris,105.5,48
HI,Honolulu,105,363
VA,Alexandria,104.5,66
PA,Philadelphia,100,457
MA,Somerville,100,99
FL,Tampa,100,78
IL,Chicago,100,1255
WA,Seattle,100,824
CA,San Jose,100,104
CA,Carlsbad,100,54
CA,Berkeley,100,328
FL,Fort Lauderdale,100,151
CO,Boulder,100,265
CA,Long Beach,100,113
TX,Houston,100,175
CA,Pasadena,99.5,86
NY,Queens,99,457
MN,Minneapolis,98,138
MI,Ann Arbor,98,63
NY,Long Island City,95.5,190
CA,Oakland,90,434
CA,Glendale,90,70
AZ,Tucson,90,195
UT,Salt Lake City,89.5,140
GA,Atlanta,89,302
TX,Dallas,87,114
CO,Denver,86,283
OR,Eugene,85,78
AZ,Phoenix,85,167
NJ,Jersey City,85,82
WI,Madison,85,59
RI,Providence,85,72
TN,Nashville,80,185
TX,San Antonio,80,77
MD,Baltimore,80,137
PA,Pittsburgh,80,99
OR,Portland,79,819
NY,Bronx,75,113
MD,Silver Spring,75,53
FL,Orlando,75,116
CT,New Haven,75,52
NM,Albuquerque,75,95
OH,Cincinnati,70,47
CA,Sacramento,65,57
NC,Raleigh,60,57
NC,Durham,60,63
