Unique id,City,State,$ Price,# of Reviews
25626,Albuquerque,NM,24,1
7197,Albuquerque,NM,29,23
17345,Albuquerque,NM,29,9
39704,Albuquerque,NM,30,0
1885,Albuquerque,NM,35,25
12395,Albuquerque,NM,35,0
27471,Albuquerque,NM,36,3
1259,Albuquerque,NM,40,42
1855,Albuquerque,NM,40,99
1973,Albuquerque,NM,40,80
6928,Albuquerque,NM,40,3
39462,Albuquerque,NM,40,0
39710,Albuquerque,NM,40,0
7612,Albuquerque,NM,41,0
15269,Albuquerque,NM,43,0
41419,Albuquerque,NM,43,0
4426,Albuquerque,NM,44,25
8616,Albuquerque,NM,45,26
9849,Albuquerque,NM,45,2
18632,Albuquerque,NM,45,39
19233,Albuquerque,NM,45,13
22073,Albuquerque,NM,45,17
34945,Albuquerque,NM,45,0
36196,Albuquerque,NM,45,0
38797,Albuquerque,NM,45,0
9870,Albuquerque,NM,49,1
15964,Albuquerque,NM,49,9
1016,Albuquerque,NM,50,73
1365,Albuquerque,NM,50,14
3014,Albuquerque,NM,50,2
5201,Albuquerque,NM,50,2
41612,Albuquerque,NM,50,0
16576,Albuquerque,NM,54,0
3973,Albuquerque,NM,57,3
5162,Albuquerque,NM,60,0
11088,Albuquerque,NM,60,1
19049,Albuquerque,NM,60,4
31793,Albuquerque,NM,60,1
2600,Albuquerque,NM,62,4
13742,Albuquerque,NM,65,23
20025,Albuquerque,NM,65,5
19455,Albuquerque,NM,67,0
13972,Albuquerque,NM,69,3
39210,Albuquerque,NM,70,0
2291,Albuquerque,NM,75,15
9540,Albuquerque,NM,75,1
21102,Albuquerque,NM,75,1
33547,Albuquerque,NM,75,0
42488,Albuquerque,NM,75,0
6038,Albuquerque,NM,79,5
16558,Albuquerque,NM,79,0
38564,Albuquerque,NM,80,0
40362,Albuquerque,NM,80,0
1688,Albuquerque,NM,85,48
10145,Albuquerque,NM,89,4
15219,Albuquerque,NM,89,30
18089,Albuquerque,NM,89,1
23036,Albuquerque,NM,89,2
4157,Albuquerque,NM,90,4
12629,Albuquerque,NM,90,1
20948,Albuquerque,NM,97,17
6982,Albuquerque,NM,99,0
5364,Albuquerque,NM,100,2
6701,Albuquerque,NM,100,0
18449,Albuquerque,NM,100,0
31997,Albuquerque,NM,100,0
32936,Albuquerque,NM,100,0
36545,Albuquerque,NM,100,0
19378,Albuquerque,NM,105,0
19627,Albuquerque,NM,105,1
27480,Albuquerque,NM,110,0
38559,Albuquerque,NM,110,0
42478,Albuquerque,NM,110,0
1985,Albuquerque,NM,115,3
12628,Albuquerque,NM,115,2
5067,Albuquerque,NM,119,0
2616,Albuquerque,NM,120,7
4486,Albuquerque,NM,125,0
11150,Albuquerque,NM,125,5
15533,Albuquerque,NM,129,8
38301,Albuquerque,NM,135,0
13340,Albuquerque,NM,140,0
19232,Albuquerque,NM,145,0
1841,Albuquerque,NM,150,4
36921,Albuquerque,NM,150,0
2090,Albuquerque,NM,155,6
19236,Albuquerque,NM,165,0
37524,Albuquerque,NM,165,1
29506,Albuquerque,NM,175,0
30136,Albuquerque,NM,175,0
19238,Albuquerque,NM,185,0
17910,Albuquerque,NM,200,0
28603,Albuquerque,NM,249,1
16296,Albuquerque,NM,275,0
1594,Albuquerque,NM,375,3
21223,Alexandria,VA,55,16
3443,Alexandria,VA,60,15
31637,Alexandria,VA,60,7
35925,Alexandria,VA,60,1
29416,Alexandria,VA,62,0
4361,Alexandria,VA,64,99
5020,Alexandria,VA,64,68
27544,Alexandria,VA,64,8
15863,Alexandria,VA,65,6
